
         JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2443933.500000000, A.D. 1979-Mar-01 00:00:00.0000, -4.763603833420519E+08,  6.249106745107847E+08,  8.203332185242563E+06, -1.265731990061065E+01,  5.190321690927989E+00, -4.279147567213482E-02,  2.621185332065049E+03,  7.858115935733272E+08,  1.180000681065129E+01,
2443933.541666667, A.D. 1979-Mar-01 01:00:00.0000, -4.764059565404255E+08,  6.249293828815410E+08,  8.203177736773968E+06, -1.266113759412772E+01,  5.203252822453431E+00, -4.301361589718966E-02,  2.621327106896903E+03,  7.858540965986514E+08,  1.181282140485878E+01,
2443933.583333333, A.D. 1979-Mar-01 02:00:00.0000, -4.764515436346702E+08,  6.249481381876841E+08,  8.203022484403640E+06, -1.266504024144032E+01,  5.216397774459523E+00, -4.323809313523763E-02,  2.621469036931729E+03,  7.858966461526556E+08,  1.182585701678750E+01,
2443933.625000000, A.D. 1979-Mar-01 03:00:00.0000, -4.764971449351332E+08,  6.249669412084545E+08,  8.202866419659644E+06, -1.266903036648544E+01,  5.229761846825284E+00, -4.346494009439850E-02,  2.621611124857817E+03,  7.859392430412697E+08,  1.183911938317573E+01,
2443933.666666667, A.D. 1979-Mar-01 04:00:00.0000, -4.765427607614270E+08,  6.249857927424947E+08,  8.202709533951759E+06, -1.267311059344640E+01,  5.243350519991757E+00, -4.369418973083272E-02,  2.621753373433565E+03,  7.859818880914404E+08,  1.185261444493892E+01,
2443933.708333333, A.D. 1979-Mar-01 05:00:00.0000, -4.765883914427993E+08,  6.250046936085142E+08,  8.202551818570554E+06, -1.267728365183185E+01,  5.257169462854141E+00, -4.392587522529712E-02,  2.621895785489987E+03,  7.860245821518840E+08,  1.186634835651973E+01,
2443933.750000000, A.D. 1979-Mar-01 06:00:00.0000, -4.766340373185215E+08,  6.250236446459814E+08,  8.202393264687121E+06, -1.268155238186493E+01,  5.271224541112665E+00, -4.416002995796564E-02,  2.622038363933329E+03,  7.860673260938711E+08,  1.188032749579094E+01,
2443933.791666667, A.D. 1979-Mar-01 07:00:00.0000, -4.766796987382978E+08,  6.250426467158498E+08,  8.202233863351494E+06, -1.268591974019368E+01,  5.285521826108415E+00, -4.439668748072467E-02,  2.622181111747819E+03,  7.861101208120514E+08,  1.189455847453850E+01,
2443933.833333333, A.D. 1979-Mar-01 08:00:00.0000, -4.767253760626945E+08,  6.250617007013122E+08,  8.202073605493426E+06, -1.269038880593511E+01,  5.300067604167444E+00, -4.463588148592113E-02,  2.622324031998541E+03,  7.861529672253132E+08,  1.190904814955103E+01,
2443933.875000000, A.D. 1979-Mar-01 09:00:00.0000, -4.767710696635935E+08,  6.250808075085953E+08,  8.201912481920540E+06, -1.269496278706777E+01,  5.314868386474488E+00, -4.487764577035702E-02,  2.622467127834447E+03,  7.861958662776890E+08,  1.192380363434152E+01,
2443933.916666667, A.D. 1979-Mar-01 10:00:00.0000, -4.768167799246666E+08,  6.250999680677859E+08,  8.201750483318925E+06, -1.269964502719308E+01,  5.329930919496485E+00, -4.512201419332973E-02,  2.622610402491513E+03,  7.862388189393001E+08,  1.193883231152981E+01,
