
 JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,

2444025.500000000, A.D. 1979-Jun-01 00:00:00.0000,  1.317423209588832E+00,  6.870932140401565E+05,  6.894727633538767E+00,  1.488708858779387E+02,  2.641619502160401E+02,  2.444064380233449E+06,  2.024987702811992E-04, -6.802444334944413E+02,  2.240001547443814E+02, -2.164596643484788E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.541666667, A.D. 1979-Jun-01 01:00:00.0000,  1.317567485160101E+00,  6.873882835642279E+05,  6.893399863662139E+00,  1.488849645682818E+02,  2.641398659230159E+02,  2.444064380171784E+06,  2.025063835580833E-04, -6.795399065069973E+02,  2.240114294697637E+02, -2.164542390785652E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.583333333, A.D. 1979-Jun-01 02:00:00.0000,  1.317693377847032E+00,  6.876423190067050E+05,  6.892115278858161E+00,  1.488985931086791E+02,  2.641192795272913E+02,  2.444064380042834E+06,  2.025145401841842E-04, -6.788359686351999E+02,  2.240216600126491E+02, -2.164484269917017E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.625000000, A.D. 1979-Jun-01 03:00:00.0000,  1.317799730240239E+00,  6.878532911072839E+05,  6.890903107973591E+00,  1.489114603207473E+02,  2.641005626347616E+02,  2.444064379854563E+06,  2.025230308785166E-04, -6.781320524767607E+02,  2.240307836118634E+02, -2.164423772755581E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.666666667, A.D. 1979-Jun-01 04:00:00.0000,  1.317885833259663E+00,  6.880201558635311E+05,  6.889790678086234E+00,  1.489232746151474E+02,  2.640840420031224E+02,  2.444064379616192E+06,  2.025316402706809E-04, -6.774275952293846E+02,  2.240387629050023E+02, -2.164362434174712E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.708333333, A.D. 1979-Jun-01 05:00:00.0000,  1.317951442004567E+00,  6.881428774393222E+05,  6.888802823826540E+00,  1.489337704523717E+02,  2.640699923219299E+02,  2.444064379337983E+06,  2.025401517478308E-04, -6.767220513487355E+02,  2.240455867360483E+02, -2.164301797472073E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.750000000, A.D. 1979-Jun-01 06:00:00.0000,  1.317996778052328E+00,  6.882224214199311E+05,  6.887961357230569E+00,  1.489427141968519E+02,  2.640586303473553E+02,  2.444064379030999E+06,  2.025483524295822E-04, -6.760149049222643E+02,  2.240512702104817E+02, -2.164243378927195E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.791666667, A.D. 1979-Jun-01 07:00:00.0000,  1.318022519314812E+00,  6.882607213647948E+05,  6.887284614923854E+00,  1.489499091635718E+02,  2.640501105244000E+02,  2.444064378706839E+06,  2.025560380473959E-04, -6.753056812488128E+02,  2.240558540645001E+02, -2.164188633080674E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.833333333, A.D. 1979-Jun-01 08:00:00.0000,  1.318029778704038E+00,  6.882606218132868E+05,  6.886787093576158E+00,  1.489551997175694E+02,  2.640445221629523E+02,  2.444064378377367E+06,  2.025630175498413E-04, -6.745939572344569E+02,  2.240594034206060E+02, -2.164138920002793E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.875000000, A.D. 1979-Jun-01 09:00:00.0000,  1.318020072963737E+00,  6.882258010243637E+05,  6.886479179768127E+00,  1.489584743390352E+02,  2.640418881783708E+02,  2.444064378054430E+06,  2.025691172971230E-04, -6.738793703258973E+02,  2.240620060055689E+02, -2.164095475516878E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.916666667, A.D. 1979-Jun-01 10:00:00.0000,  1.317995283097199E+00,  6.881606767958758E+05,  6.886366976410565E+00,  1.489596676126588E+02,  2.640421653592952E+02,  2.444064377749606E+06,  2.025741847455543E-04, -6.731616257999734E+02,  2.240637699091374E+02, -2.164059385074395E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444025.958333333, A.D. 1979-Jun-01 11:00:00.0000,  1.317957607862746E+00,  6.880702987115214E+05,  6.886452224615233E+00,  1.489587611393838E+02,  2.640452460851544E+02,  2.444064377473944E+06,  2.025780915554694E-04, -6.724405023119293E+02,  2.240648209628731E+02, -2.164031561743738E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.000000000, A.D. 1979-Jun-01 12:00:00.0000,  1.317909511815484E+00,  6.879602301029606E+05,  6.886732317353250E+00,  1.489557834020814E+02,  2.640509613830706E+02,  2.444064377237740E+06,  2.025807360844137E-04, -6.717158556762089E+02,  2.240652998181201E+02, -2.164012728572453E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.041666667, A.D. 1979-Jun-01 13:00:00.0000,  1.317853669347992E+00,  6.878364228923135E+05,  6.887200399302845E+00,  1.489508086437392E+02,  2.640590851886676E+02,  2.444064377050326E+06,  2.025820452512873E-04, -6.709876209117049E+02,  2.240653588004078E+02, -2.164003405413775E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.083333333, A.D. 1979-Jun-01 14:00:00.0000,  1.317792906123231E+00,  6.877050882977436E+05,  6.887845545919698E+00,  1.489439548376667E+02,  2.640693396576152E+02,  2.444064376919889E+06,  2.025819757764723E-04, -6.702558126287788E+02,  2.240651586144900E+02, -2.164003900172262E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.125000000, A.D. 1979-Jun-01 15:00:00.0000,  1.317730139200679E+00,  6.875725661438946E+05,  6.888653013929646E+00,  1.489353808437236E+02,  2.640814013648520E+02,  2.444064376853315E+06,  2.025805148178123E-04, -6.695205238681023E+02,  2.240648649696948E+02, -2.164014304320101E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.166666667, A.D. 1979-Jun-01 16:00:00.0000,  1.317668317032603E+00,  6.874451952218659E+05,  6.889604555125418E+00,  1.489252828524936E+02,  2.640949082265562E+02,  2.444064376856066E+06,  2.025776800326470E-04, -6.687819235214595E+02,  2.240646451892632E+02, -2.164034492465011E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.208333333, A.D. 1979-Jun-01 17:00:00.0000,  1.317610360352031E+00,  6.873291867924376E+05,  6.890678785531781E+00,  1.489138902205186E+02,  2.641094669862816E+02,  2.444064376932077E+06,  2.025735191018991E-04, -6.680402524723312E+02,  2.240646648598150E+02, -2.164064125712482E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.250000000, A.D. 1979-Jun-01 18:00:00.0000,  1.317559104789009E+00,  6.872305029235409E+05,  6.891851602698290E+00,  1.489014607939399E+02,  2.641246611215261E+02,  2.444064377083682E+06,  2.025681087534826E-04, -6.672958185894234E+02,  2.240650845679590E+02, -2.164102658559103E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.291666667, A.D. 1979-Jun-01 19:00:00.0000,  1.317517245837521E+00,  6.871547409009041E+05,  6.893096645105178E+00,  1.488882758049460E+02,  2.641400590506155E+02,  2.444064377311577E+06,  2.025615533190253E-04, -6.665489906894455E+02,  2.240660567603008E+02, -2.164149349079872E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.333333333, A.D. 1979-Jun-01 20:00:00.0000,  1.317487286554597E+00,  6.871070244527139E+05,  6.894385789501264E+00,  1.488746344046395E+02,  2.641552225528109E+02,  2.444064377614799E+06,  2.025539828502215E-04, -6.658001915569020E+02,  2.240677227507241E+02, -2.164203272229473E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.375000000, A.D. 1979-Jun-01 21:00:00.0000,  1.317471488095368E+00,  6.870919019655996E+05,  6.895689683979663E+00,  1.488608478722880E+02,  2.641697153526678E+02,  2.444064377990734E+06,  2.025455508077536E-04, -6.650498900649332E+02,  2.240702098841932E+02, -2.164263336174641E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.416666667, A.D. 1979-Jun-01 22:00:00.0000,  1.317471822920717E+00,  6.871132513318781E+05,  6.896978318581684E+00,  1.488472334951804E+02,  2.641831118793613E+02,  2.444064378435152E+06,  2.025364313217367E-04, -6.642985923969793E+02,  2.240736288520569E+02, -2.164328301675715E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.458333333, A.D. 1979-Jun-01 23:00:00.0000,  1.317489930145332E+00,  6.871741903385574E+05,  6.898221637127139E+00,  1.488341080887726E+02,  2.641950062562757E+02,  2.444064378942270E+06,  2.025268159962849E-04, -6.635468322907897E+02,  2.240780711336338E+02, -2.164396804723852E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.500000000, A.D. 1979-Jun-02 00:00:00.0000,  1.317527072194196E+00,  6.872769909176754E+05,  6.899390199877917E+00,  1.488217810594838E+02,  2.642050216596015E+02,  2.444064379504836E+06,  2.025169102095691E-04, -6.627951601641041E+02,  2.240836065222657E+02, -2.164467382791673E+06,  9.999999999999998E+99,  9.999999999999998E+99,
2444026.541666667, A.D. 1979-Jun-02 01:00:00.0000,  1.317584118998258E+00,  6.874230535818215E+05,  6.900455732987605E+00,  1.488105487371977E+02,  2.642128168364404E+02,  2.444064380114294E+06,  2.025069291186655E-04, -6.620441326491052E+02,  2.240902822308648E+02, -2.164538503216497E+06,  9.999999999999998E+99,  9.999999999999998E+99,
